iter	Passed	Remaining
0	153	152942
1	156	78333
2	162	54092
3	169	42180
4	177	35262
5	188	31223
6	198	28131
7	213	26443
8	224	24758
9	228	22617
10	233	20983
11	404	33317
12	412	31324
13	425	29952
14	433	28487
15	506	31162
16	523	30255
17	559	30506
18	568	29374
19	597	29294
20	605	28241
21	625	27812
22	641	27251
23	657	26742
24	668	26088
25	675	25306
26	686	24752
27	693	24068
28	701	23477
29	706	22843
30	712	22283
31	716	21674
32	720	21100
33	727	20675
34	732	20187
35	736	19732
36	760	19785
37	769	19470
38	780	19228
39	792	19019
40	797	18652
41	800	18262
42	806	17947
43	811	17628
44	817	17356
45	828	17179
46	832	16878
47	840	16669
48	846	16419
49	849	16144
50	859	15990
51	864	15761
52	871	15565
53	875	15339
54	879	15112
55	884	14917
56	889	14712
57	894	14521
58	901	14377
59	953	14943
60	963	14836
61	993	15032
62	1008	15001
63	1028	15034
64	1034	14881
65	1039	14717
66	1045	14552
67	1051	14415
68	1058	14279
69	1067	14180
70	1073	14042
71	1078	13894
72	1084	13768
73	1088	13622
74	1092	13470
75	1098	13356
76	1103	13230
77	1120	13248
78	1125	13124
79	1130	13002
80	1136	12895
81	1143	12796
82	1154	12750
83	1166	12716
84	1175	12656
85	1187	12620
86	1191	12500
87	1195	12391
88	1200	12284
89	1203	12167
90	1206	12051
91	1210	11948
92	1215	11849
93	1221	11775
94	1230	11719
95	1234	11623
96	1237	11516
97	1242	11439
98	1246	11343
99	1250	11250
100	1253	11160
101	1260	11100
102	1265	11023
103	1269	10940
104	1274	10862
105	1278	10779
106	1281	10694
107	1284	10608
108	1290	10548
109	1295	10480
110	1299	10405
111	1314	10420
112	1320	10366
113	1326	10305
114	1330	10239
115	1334	10166
116	1345	10157
117	1349	10087
118	1353	10023
119	1356	9949
120	1359	9879
121	1362	9807
122	1365	9735
123	1369	9675
124	1373	9616
125	1378	9560
126	1381	9494
127	1386	9446
128	1391	9393
129	1394	9332
130	1397	9270
131	1401	9217
132	1404	9153
133	1412	9125
134	1422	9112
135	1437	9133
136	1442	9085
137	1445	9028
138	1454	9008
139	1460	8971
140	1467	8938
141	1472	8894
142	1474	8838
143	1477	8782
144	1481	8737
145	1484	8684
